Rzeczywista aktywność,0,1,2,3,4,5
1,0,746,99,790,87,0
2,0,142,10,1030,362,0
3,0,874,227,288,17,0
4,1321,0,0,3,0,453
5,1311,0,0,0,0,595
6,1484,0,0,12,0,448
